Country/Region,flag,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20
Mauritania,https://www.countryflags.io/MR/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,11,19,29
Mauritius,https://www.countryflags.io/MU/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,26,34,40,46,79,92,100,104,125,138,155,162,179,182,213,230,253,247,284,286,282,273,273,264,250,234,207,136,111,95,76,59,56,37,27,24,22,21,16,12,10,8,7,6,3,2,2,2,2,2,0,0,0,0,0,0
Mexico,https://www.countryflags.io/MX/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,4,4,4,5,5,6,6,3,4,8,22,37,49,78,89,114,159,197,245,309,359,396,465,573,701,828,969,1031,1151,1306,1425,995,1178,1416,1681,2011,2374,2614,2978,3313,2593,2839,3029,3273,3686,4204,4722,4948,5433,6017,6947,7937,9024,5388,4972,5009,3760,4644,5942,6390,7650,7870,9187,6708,7149,8874,8048,8283,9733,9654,8463,8976,9643,9814,10251
Moldova,https://www.countryflags.io/MD/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,6,12,23,23,29,28,47,64,78,92,107,122,146,174,195,227,259,281,331,395,476,557,711,819,909,994,1107,1210,1353,1455,1537,1570,1760,1832,1865,1932,1930,1948,2021,2037,2143,2185,2271,2385,2417,2454,2560,2546,2599,2586,2594,2614,2693,2683,2675,2713,2752,2781,2800,2840,2903,3045,3131,3315,3383
Monaco,https://www.countryflags.io/MC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7,7,7,7,11,11,22,22,22,30,32,41,41,44,47,49,52,57,60,62,69,72,74,76,78,84,86,86,86,86,78,78,71,69,69,68,65,65,55,49,48,48,49,41,33,27,18,13,13,13,10,9,9,9,10,10,7,7,5,5,5,5
Mongolia,https://www.countryflags.io/MN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,6,6,6,10,10,10,10,10,11,11,12,12,10,10,12,12,12,12,12,13,11,12,12,12,12,12,13,25,25,26,26,26,25,26,26,27,27,28,28,29,28,28,28,28,28,29,29,28,28,28,28,29,28,28,28,27,27,83,78,115
Montenegro,https://www.countryflags.io/ME/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,14,14,21,26,46,51,68,81,83,84,90,107,121,142,171,198,211,230,235,242,246,249,256,264,266,233,229,244,243,247,248,219,207,194,188,190,161,161,125,115,112,101,82,69,65,62,63,55,51,49,42,25,21,17,8,6,4,4
Morocco,https://www.countryflags.io/MA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,5,5,15,26,27,35,46,60,73,90,108,136,159,212,256,311,366,440,508,557,586,633,686,794,875,959,1001,1085,1168,1219,1288,1366,1434,1545,1668,1904,2148,2234,2387,2553,2671,2880,2957,3114,3201,3311,3263,3309,3225,3269,3315,3300,3291,3221,3200,3208,3186,3201,3263,3321,3282,3239,3193,3107,3062,3062
Mozambique,https://www.countryflags.io/MZ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,7,8,8,8,8,10,10,10,9,9,9,9,16,16,18,18,19,19,26,27,29,32,31,31,31,31,33,37,53,58,64,64,64,64,64,67,61,61,61,62,60,57,55,53,57,69,70,70,80,77,86
Namibia,https://www.countryflags.io/NA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,5,5,6,6,6,9,9,9,12,11,11,11,13,13,13,13,13,13,13,13,13,13,13,12,12,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,5,5,5,4,3,3
Nepal,https://www.countryflags.io/NP/shiny/64.png,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,11,13,15,15,14,28,29,27,27,39,38,38,38,37,36,36,38,41,41,43,43,59,59,66,77,79,71,79,79,101,184,215,214,231,254
Netherlands,https://www.countryflags.io/NL/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,18,24,38,82,127,187,262,318,378,498,498,796,948,1116,1390,1666,1998,2388,2894,3501,4035,4548,5300,6077,7027,8094,9173,9905,10699,11374,12261,13187,14071,14809,15925,16794,17329,18155,19222,20442,21627,22704,23582,24328,24867,25745,26833,27836,28819,29502,30314,30863,31628,32323,32858,33432,33789,33913,34152,34576,34942,35293,35559,35732,35962,36151,36520,36768,36991,37218,37363,37505,37672,37912,38059,38214
New Zealand,https://www.countryflags.io/NZ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8,8,12,20,28,39,52,102,102,143,183,256,331,401,457,525,572,624,704,764,822,882,929,918,927,921,908,886,855,798,729,649,622,582,544,507,454,426,401,344,325,310,270,239,226,216,208,202,201,191,164,151,136,122,103,102,90,78,74,65,56,49,45
Nicaragua,https://www.countryflags.io/NI/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,3,3,3,4,4,4,4,4,5,5,5,5,6,6,7,4,4,4,4,4,4,1,2,2,1,1,1,1,2,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,10,10,10,10,10
Niger,https://www.countryflags.io/NE/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,6,9,9,9,17,24,24,69,93,115,136,161,217,241,303,359,386,439,442,442,466,480,480,499,507,511,511,510,447,391,368,332,317,287,275,246,235,217,194,196,184,182,171,153,151,153,151,149,159,153,149,150,149
Nigeria,https://www.countryflags.io/NG/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,7,7,11,21,28,37,41,48,62,66,85,107,121,125,163,162,181,185,194,198,204,226,230,240,238,228,242,263,267,277,317,357,436,455,455,648,753,855,925,994,1042,1233,1370,1555,1751,1952,2071,2292,2371,2508,2818,3116,3278,3478,3589,3670,3737,3815,3959,3973
North Macedonia,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,7,13,13,13,17,25,34,47,66,84,113,133,145,173,195,213,234,250,266,308,326,356,398,446,514,517,543,553,596,638,685,753,772,778,831,914,929,957,977,971,952,931,943,932,934,825,781,761,742,650,606,572,482,441,427,394,404,397,419,415,373,377,370,393,392,397
Norway,https://www.countryflags.io/NO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,19,25,32,56,87,108,147,176,204,399,597,701,995,1086,1217,1329,1459,1543,1738,1906,2110,2377,2610,2845,3064,3349,3730,3985,4252,4401,4589,4806,5065,5279,5456,5584,5757,5965,5953,6071,6169,6258,6365,6437,6452,6558,6712,6744,6840,6881,6943,6977,7119,7175,7232,7266,7294,7362,7422,7471,7496,7541,7566,7604,7658,7708,7748,7785,7820,7848,7854,7876,7897,7914,7932,7955,7973
Oman,https://www.countryflags.io/OM/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,5,5,5,10,13,14,14,14,14,14,9,9,9,10,10,13,13,15,27,36,36,40,38,49,67,82,86,108,129,144,150,157,175,173,194,214,235,268,302,345,345,372,434,486,599,679,775,839,887,998,1026,1165,1262,1368,1400,1455,1566,1655,1675,1757,1900,1842,1941,1721,1806,1809,1864,2002,1963,2071,2139,2265,2306,2454,2713,3020,3255,3572
Pakistan,https://www.countryflags.io/PK/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,5,5,5,6,6,5,5,15,17,18,26,29,51,134,234,297,439,485,714,766,864,947,1034,1171,1339,1454,1554,1620,1836,1997,2262,2520,2646,2899,3454,3549,3735,3852,3902,4163,4111,4308,4363,4826,5146,5125,5663,6312,6272,7291,7708,8391,8932,9588,10111,10594,11067,11757,12117,12982,13846,14513,14830,15734,17045,17595,18306,20291,21612,22820,24787,25638,25323,27085,27085
Panama,https://www.countryflags.io/PA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,26,35,42,54,68,85,108,136,199,310,339,338,434,548,663,770,880,961,1142,1142,1276,1428,1619,1742,1921,2031,2174,2449,2670,2883,3132,3284,3317,3407,3573,3809,3972,4013,4176,4318,4449,4749,4865,5041,5276,5399,5399,5673,5768,5906,6252,6252,6356,6490,6654,6757,6953,3544,3517,3680,2510,2621,2778,2922,3100
Papua New Guinea,https://www.countryflags.io/PG/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,https://www.countryflags.io/PY/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6,8,9,11,11,13,17,21,21,25,34,38,48,52,55,60,61,65,72,83,81,89,96,95,99,101,105,109,106,119,130,130,136,161,159,157,154,147,142,137,136,134,134,126,128,128,143,208,241,260,275,286,288,304,401,524,538,544,554,547,559,555,569
Peru,https://www.countryflags.io/PE/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43,86,116,144,233,230,312,357,389,408,470,557,608,639,818,873,641,891,822,997,759,1209,1472,1546,2888,3680,4159,4928,5528,6926,7204,8113,6097,6648,7388,8417,8912,10371,11693,12920,13518,16834,18701,19492,21157,22951,25520,28206,28900,31092,31601,34332,35757,38511,41121,42955,44069,44455,46678,49813,53186,54956,57746
Philippines,https://www.countryflags.io/PH/shiny/64.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,18,30,46,48,57,101,127,128,170,178,192,204,275,338,412,497,572,634,718,972,1305,1426,1947,2165,2475,2830,2893,3030,3424,3503,3592,3749,3834,4024,4154,4375,4593,4751,4863,5004,5174,5278,5418,5508,5571,5797,5953,6008,6216,6334,6453,6631,6877,7109,7201,7402,7547,7639,7840,8040,8033,8064,8151,8361,8493,8595,8749,8825,8927
Poland,https://www.countryflags.io/PL/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,11,16,22,31,48,66,100,116,160,220,233,349,419,530,626,740,890,1030,1198,1366,1613,1833,2017,2271,2464,2833,3256,3432,3874,4144,4528,4824,5117,5456,5773,6003,6202,6321,6628,6830,7181,7414,7887,8080,8158,8230,8317,8454,8623,8817,8874,8967,8991,8997,8963,8949,9070,9213,9435,9352,9430,9406,9429,9498,9699,9951,9933,10036,10191,10167
Portugal,https://www.countryflags.io/PT/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,8,13,20,30,30,41,59,59,111,167,243,328,444,443,779,1009,1263,1581,2032,2307,2930,3441,4149,5027,5800,6225,7240,8021,8757,9572,10183,10908,11279,11913,12565,13342,14804,15251,15804,16122,16534,17109,17719,17846,18388,18882,19518,19700,20054,20332,20715,21235,21632,21742,21985,22062,22537,22697,22496,22550,22749,22885,23017,23352,23732,23781,23897,23986,23737,23775,23937,24065,23785
Qatar,https://www.countryflags.io/QA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,8,8,8,8,15,18,24,262,262,320,333,397,435,435,448,456,460,454,461,468,485,496,506,519,544,585,641,717,762,874,979,1213,1477,1697,1901,2026,2164,2279,2475,2697,2890,3048,3298,3681,4192,4490,4922,5451,5910,6442,7004,7706,8419,9265,10168,10777,11311,12027,12648,13326,13875,14369,15206,15890,16592,17819,18869,19753,20769,22116,23382,24902,25865,27169
Romania,https://www.countryflags.io/RO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,5,8,6,12,12,22,39,43,82,114,122,149,168,241,252,283,315,366,505,704,803,912,1151,1276,1566,1835,1943,2116,2356,2767,3138,3339,3475,3760,4013,4307,4468,4941,5132,5388,5477,5627,5958,6148,6267,6403,6441,6591,6780,7073,7033,7144,7363,7557,7549,7716,7506,7495,7414,7504,7425,7542,7455,7467,7465,7280,7350,7361,7091,7005,6141,5997,6036
Russia,https://www.countryflags.io/RU/shiny/64.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,11,11,14,14,17,17,25,42,51,55,82,106,139,189,243,293,350,421,472,626,799,987,1211,1462,1761,2199,2563,3283,3834,4355,4989,5890,6945,8029,9357,11028,12433,14349,16710,19238,22306,25402,29145,33423,39201,43270,48434,53066,57327,62439,67657,73435,79007,84235,88141,93806,100042,107819,116768,125817,134054,143065,151732,159528,164933,173467,179534,186615,192056,196410,202199,206340
Rwanda,https://www.countryflags.io/RW/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,17,17,19,36,40,41,50,54,60,70,70,75,82,84,89,102,100,101,98,103,103,111,102,101,85,85,82,78,78,75,71,71,66,69,67,89,95,99,114,117,127,139,140,135,135,133,132,138,138,137,140,144,135,133,123,119,110,111
Saint Kitts and Nevis,https://www.countryflags.io/KN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,8,8,9,9,9,10,10,11,11,11,12,12,12,12,14,14,14,14,14,14,15,15,14,14,13,13,13,13,11,11,9,7,7,7,7,3,3,3,2,1,1,1,1,1,1,1,1
Saint Lucia,https://www.countryflags.io/LC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,8,8,12,12,12,12,13,13,13,13,13,13,14,14,11,11,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,1,1,1,1,1,1,0,0,0,0
Saint Vincent and the Grenadines,https://www.countryflags.io/VC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,6,6,6,7,7,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,3,3
San Marino,https://www.countryflags.io/SM/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,9,15,20,20,22,35,35,49,60,66,75,71,92,98,98,104,104,126,120,151,163,162,183,183,198,196,196,192,197,197,194,194,200,199,199,205,205,250,260,268,268,268,282,283,333,339,356,362,362,374,386,398,409,409,433,433,448,453,450,457,456,455,455,456,470,475,468,470,461,457,436,441,435,422,414
Sao Tome and Principe,https://www.countryflags.io/ST/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,11,11,11,16,167,167,179,199,199,199,199,199,210,224,224,224
Saudi Arabia,https://www.countryflags.io/SA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,11,15,19,20,44,85,102,102,116,165,165,268,336,376,495,546,738,869,976,1066,1162,1225,1330,1388,1440,1536,1663,1730,1880,2016,2139,2260,2577,2919,3261,3642,4064,4407,4852,5307,6006,6853,7867,8891,9882,10846,11884,12926,13948,15026,16136,17141,18292,19428,20373,21518,22693,23989,24620,24946,25714,26083,26753,27345,28022,27404,26935,27535,27015,28048
Senegal,https://www.countryflags.io/SN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,3,3,3,3,3,9,9,23,22,24,29,29,36,42,62,74,78,90,96,108,112,115,135,135,144,139,140,145,138,132,130,129,125,126,124,107,111,114,122,139,142,136,144,137,165,183,216,276,331,379,443,518,558,590,659,738,801,846,848,928,917,927,974,1040,1152,1234,1302,1324,1395,1455
Serbia,https://www.countryflags.io/RS/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48,54,64,82,102,133,169,219,245,285,365,383,456,649,728,769,884,1032,1140,1437,1580,1857,2142,2386,2601,2801,3034,3306,3550,3969,4371,4774,5215,5046,5240,5443,5635,5783,5985,6070,6245,6476,6704,6904,7069,7259,7487,7487,7747,7720,7786,7754,7617,7482,7281,7085,7085,6668,6423,6249,6066,5912,5789
Seychelles,https://www.countryflags.io/SC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1
Sierra Leone,https://www.countryflags.io/SL/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,6,6,7,7,8,8,10,10,11,13,15,26,30,29,37,44,55,53,70,70,79,79,88,88,96,108,126,129,132,145,157,161,186,215,222,247,247,264,285,323,327
Singapore,https://www.countryflags.io/SG/shiny/64.png,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,31,38,43,38,35,43,50,54,57,53,52,50,50,48,48,38,38,38,31,31,31,30,34,30,32,32,39,52,60,72,72,82,82,82,103,107,121,134,152,199,231,261,290,309,363,400,469,509,547,602,629,648,683,752,779,827,886,983,1025,1098,1211,1444,1609,1763,1964,2323,2631,3037,3734,4331,5241,5809,7202,8275,9233,10242,11107,11679,12552,13314,13809,14439,14910,15817,16184,16779,17303,17873,18544,19207,19647,20144,20595,20576,20799,20516,20104,19622,18992
Slovakia,https://www.countryflags.io/SK/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54,63,72,104,122,136,177,178,179,197,209,224,267,290,312,329,360,396,420,439,460,474,524,566,664,676,690,703,717,660,720,706,802,865,865,920,909,927,946,1022,988,970,967,960,941,885,849,822,775,765,745,655,642,613,524,510,490,472,455,382,338,322,314
Slovenia,https://www.countryflags.io/SI/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,16,16,31,57,89,141,180,218,252,274,274,285,340,382,412,439,476,513,546,613,665,709,735,777,816,810,844,876,890,889,921,931,953,978,990,1002,1005,1012,1022,1033,1064,1057,1064,1065,1070,1069,1076,1082,1088,1093,1098,1099,1099,1105,1109,1106,1102,1101,1103,1103,1103,1098,1098,1099,1102,1100,1100,1094,1092,1090
Somalia,https://www.countryflags.io/SO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,6,6,6,6,7,10,10,19,19,22,56,56,73,73,108,126,154,225,274,274,304,304,364,403,444,481,534,542,542,606,646,660,722,747,778,778,839,885,916,992,1037,1096,1096,1154
South Africa,https://www.countryflags.io/ZA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,550,697,915,1138,1155,1247,1292,1317,1325,1407,1401,1481,1549,1579,1641,1732,1821,1569,1593,1738,1835,1978,2062,1654,1830,2079,2201,2187,2352,2515,2405,2668,2802,2986,3230,2830,3174,3471,3453,3664,4103,4336,4678,4502,4918,5564,5251,5648,6089,6787,7110,6825,7194,7616
South Sudan,https://www.countryflags.io/SS/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,34,34,35,45,45,46,46,52,58,74,118,118,118,154,192,201,200,228,228
