Country/Region,flag,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20
Jordan,https://www.countryflags.io/JO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,7,16,33,51,68,84,84,111,126,153,171,211,216,227,238,237,239,237,249,247,244,230,217,209,202,204,195,197,181,169,155,144,136,135,137,134,136,124,113,112,108,105,103,100,93,87,83,87,84,85,86,87,87,104,114,126,142,163,177,181,184,186,194
Kazakhstan,https://www.countryflags.io/KZ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,33,35,44,46,53,60,62,72,81,108,146,211,263,280,317,351,405,429,490,536,610,640,666,713,738,774,842,941,1015,1039,1108,1182,1221,1259,1386,1487,1601,1709,1853,1930,2010,2090,2228,2294,2511,2650,2847,2809,2847,2897,2984,3030,3172,3168,3118,3101,3024,2977,3008,2948,2836
Kenya,https://www.countryflags.io/KE/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,15,16,25,27,29,29,36,40,48,57,77,103,114,118,134,148,159,164,165,160,160,164,159,166,162,170,182,190,189,198,208,215,217,228,231,235,235,236,240,235,240,261,274,293,329,366,381,390,412,401,416,420,416,432,452,479
"Korea, South",None,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,23,23,22,24,25,21,21,21,19,20,20,19,19,87,186,415,578,807,945,1227,1731,2302,3107,3689,4277,5128,5545,6012,6416,6862,7146,7307,7212,7407,7470,7403,7504,7577,7024,6832,6789,6934,7018,7157,5941,5941,5410,5281,4966,4665,4523,4398,4275,4216,4155,3979,3867,3654,3591,3500,3445,3408,3246,3125,3026,2930,2873,2808,2750,2627,2576,2484,2385,2324,2233,2179,1967,1843,1769,1731,1654,1593,1459,1454,1407,1360,1332,1267,1218,1135,1082,1016,1008,1021,1008,1008,969,937,924,900
Kosovo,https://www.countryflags.io/XK/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,84,89,92,92,105,114,114,115,118,121,121,142,149,149,191,218,218,218,313,313,359,384,405,447,460,458,474,491,522,546,576,557,536,528,513,513,465,448,426,340,340,272,272,212,189,201,219,219,225,225,225
Kuwait,https://www.countryflags.io/KW/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,26,43,45,45,45,56,56,56,58,58,61,63,63,68,70,75,75,99,107,114,121,127,130,141,149,161,162,152,152,159,168,171,188,194,216,237,261,335,385,456,561,637,743,798,869,1020,1091,1148,1176,1196,1296,1395,1465,1603,1619,1657,1792,1887,1986,2217,2249,2254,2241,2327,2459,2745,2883,3169,3291,3732,4028,4142,4695,4952,5901,6314,7101,7683,8436,9124,9852
Kyrgyzstan,https://www.countryflags.io/KG/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,14,14,16,42,44,44,58,58,84,91,104,108,111,123,134,137,179,191,233,241,258,290,318,347,354,366,370,370,371,416,360,367,351,321,312,312,304,292,284,284,276,244,234,221,245,232,245,246,244,261,315,316,316,306,335,352,320
Laos,https://www.countryflags.io/LA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,8,9,10,10,10,10,11,12,14,15,16,16,18,19,19,18,18,17,17,17,17,17,17,15,15,15,12,12,12,12,12,11,11,10,10,10,10,9,10,10,6,6,6,6,5,5,5,5
Latvia,https://www.countryflags.io/LV/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,6,7,9,9,16,25,29,33,48,70,85,110,123,138,179,196,220,243,279,304,346,375,397,445,427,491,507,531,525,530,559,570,593,611,630,634,636,617,613,589,619,634,646,606,617,634,505,525,533,538,556,486,495,506,507,515,532,531,419,427,446,448,457,464,305,305,316,289,316
Lebanon,https://www.countryflags.io/LB/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,10,13,13,12,15,21,21,31,31,39,57,57,73,89,106,106,114,127,149,155,179,236,255,306,307,339,356,374,398,400,421,422,432,441,449,455,462,467,495,496,513,522,530,532,540,552,556,561,552,550,553,548,547,526,534,537,538,541,548,547,551,513,511,512,515,510,519,539,547,549,585,599,610,616,624,619,629
